query,response
Can I schedule a delivery?,Certainly. Can you please provide your order number and the preferred date and time for delivery?
How do I unsubscribe from your newsletter?,We're sorry to see you go. Can you please provide your email address so we can remove you from our mailing list?
What is your return policy?,We'd be happy to provide information on our return policy. Can you please provide the product name or SKU so we can give you the most accurate information?
Do you offer price matching?,We do offer price matching in certain cases. Can you please provide the product name or SKU and the competitor's pricing information?
Are there any current promotions or sales?,"We'd be happy to inform you of any current promotions. Can you please provide the product name or SKU you're interested in, or the type of promotion you're looking for?"
My coupon isn't working.,We apologize for the inconvenience. Can you please provide the coupon code and the product name or SKU you're trying to apply it to?
Can you help me with a product recommendation?,"Of course! Can you please provide some details about what you're looking for, such as product type, features, or price range?"
Do you offer international shipping?,We'd be happy to help. Can you please provide your shipping destination and the product name or SKU you're interested in?
Can I place an order over the phone?,"Certainly. Can you please provide your phone number and the best time to reach you, and one of our representatives will contact you to place the order?"
How do I know if my order went through?,We can help you with that. Can you please provide your account email or order number so we can check the status for you?
Can I use multiple promo codes on one order?,"In most cases, only one promo code can be applied per order. Can you please provide the promo codes you're trying to use so we can check their compatibility?"
What are your customer service hours?,Our customer service team is available 24/7 to assist you. Please feel free to reach out with any questions or concerns.
Where can I find the user manual for my product?,"We'd be happy to help. Can you please provide the product name, SKU, or serial number so we can direct you to the appropriate user manual?"
Do you offer a warranty on your products?,We do offer warranties on select products. Can you please provide the product name or SKU so we can provide you with warranty information?
Can I place an order for in-store pickup?,Certainly. Can you please provide the product name or SKU and the store location where you'd like to pick up your order?
How do I sign up for your rewards program?,Thank you for your interest in our rewards program. Can you please provide your email address so we can send you information on how to sign up?
Can I pay with a gift card online?,"Yes, you can use gift cards for online purchases. Can you please provide the gift card number and the product name or SKU you're interested in?"
I can't find my order confirmation email.,We apologize for the inconvenience. Can you please provide your account email or order number so we can resend the confirmation email?
Do you offer a military discount?,"Yes, we do offer a military discount. Can you please provide your military ID or email address so we can apply the discount to your account?"
What is the processing time for my order?,We'd be happy to provide an estimate. Can you please provide your order number or the product name or SKU?
How do I update my shipping preferences?,We can help with that. Can you please provide your account email so we can guide you through updating your shipping preferences?
Is my payment information secure?,"Yes, we take security very seriously. Can you please provide your account email so we can verify the security measures in place for your payment information?"
Can I pre-order an item?,Certainly. Can you please provide the product name or SKU and your email address so we can notify you when pre-orders are available?
How do I use a gift card in-store?,"To use a gift card in-store, simply present the gift card at the time of purchase. Can you please provide the gift card number so we can check the balance for you?"
Do you have a loyalty program?,"Yes, we do have a loyalty program. Can you please provide your email address so we can send you information on how to join and enjoy the benefits?"
Is there a mobile app for your store?,"Yes, we do have a mobile app. Can you please provide your email address so we can send you a link to download the app and instructions on how to use it?"
I need help assembling my product.,"We're here to help. Can you please provide the product name, SKU, or serial number, and a description of the issue you're experiencing during assembly?"
Do you offer financing options?,We do offer financing options for select purchases. Can you please provide the product name or SKU and your email address so we can send you more information?
Can I reserve an item in-store?,Certainly. Can you please provide the product name or SKU and the store location where you'd like to reserve the item?
How do I get a price adjustment for a recent purchase?,We'd be happy to help. Can you please provide your order number and the product name or SKU for the item you'd like a price adjustment on?
How do I change my email preferences?,We can help with that. Can you please provide your account email so we can guide you through updating your email preferences?
Can I use my store credit online?,"Yes, you can use store credit for online purchases. Can you please provide the store credit number and the product name or SKU you're interested in?"
What are the washing instructions for this item?,We'd be happy to help. Can you please provide the product name or SKU so we can provide you with the proper washing instructions?
Can I get a replacement part for my product?,"Certainly. Can you please provide the product name, SKU, or serial number, and a description of the part you need?"
Do you offer free shipping?,We do offer free shipping on select orders. Can you please provide the product name or SKU and your shipping destination so we can check if your order qualifies?
Can I place a custom order?,We'd be happy to assist you. Can you please provide the product name or SKU and a description of the customizations you'd like?
How do I report a problem with your website?,We appreciate your feedback. Can you please provide a description of the issue you're experiencing and your email address so we can follow up with you?
What is your policy on price adjustments?,We'd be happy to provide information on our price adjustment policy. Can you please provide the product name or SKU so we can give you the most accurate information?
Do you have any upcoming sales or events?,We'd be happy to inform you of any upcoming sales or events. Can you please provide your email address so we can keep you updated?
How do I schedule a consultation or appointment?,"We'd be happy to help. Can you please provide your name, phone number, and the service you're interested in so we can schedule your appointment?"
Can I get a copy of my receipt?,Certainly. Can you please provide your order number or account email so we can locate your receipt and send you a copy?
Can I use a competitor's coupon at your store?,"In some cases, we may accept competitor coupons. Can you please provide the competitor's coupon code and the product name or SKU you'd like to apply it to?"
Do you have a recycling program?,"Yes, we do have a recycling program. Can you please provide your email address so we can send you information on how to participate?"
How do I report a lost or stolen gift card?,"We're sorry to hear that. Can you please provide the gift card number, if available, and your email address so we can assist you further?"
